#,#,#,#,#,#,#,#
玫瑰的名字,[意] 翁贝托·埃科 / 沈萼梅、刘锡荣 , 上海译文出版社 , 2010-03 ,8.6,"
        (6074人评价)
    ",“玫瑰的名字”是中世纪用来表明含有象征意义的词汇，故事亦以一所中世纪修道院为背景。原本就已被异端的怀疑和僧侣的个人私欲弄得乌烟瘴气的寺院，却又发生了一连串离... 
源泉,[美] 安·兰德 / 高晓晴、赵雅蔷、杨玉 , 重庆出版社 , 2005-11 ,9.1,"
        (5111人评价)
    ",小说的主人公洛克是一个诚实而坚强的建筑师，他志在启蒙社会，却在大学毕业前夕被学校开除，他的设计风格被社会视为异端，一度沦落到去采石厂当小工。他深爱的女人也处... 
#,#,#,#,#,#,#,#
情人,[法] 玛格丽特·杜拉斯 / 王道乾 , 上海译文出版社 , 2005-7 ,8.1,"
        (86941人评价)
    ",杜拉斯代表作之一，自传性质的小说，获一九八四年法国龚古尔文学奖。全书以法国殖民者在越南的生活为背景，描写贫穷的法国女孩与富有的中国少爷之间深沉而无望的爱情。... 
被占的宅子,[阿根廷] 胡利奥·科塔萨尔 / 陶玉平、李静、莫娅妮 , 南海出版公司 , 2017-3-1 ,8.5,"
        (717人评价)
    ",我们熟悉的世界仍有无数空洞，有待落笔描述。在科塔萨尔笔下，世界宛如一张折纸展开，内里的一重重奇遇让人目眩神迷。噩梦般的气息侵入老宅，居住其中的两人步步撤退，... 
金色梦乡,[日] 伊坂幸太郎 / 李彦桦 , 译林出版社 , 2010-9 ,9.0,"
        (12048人评价)
    ",平凡的送貨員──青柳雅春和多年不見的老友森田森吾偶遇，卻突然被告知首相即將被暗殺，而青柳則是兇手！還一頭霧水的青柳，早已成為警方不擇手段要緝捕的對象，更慘的... 
2666,[智利] 罗贝托·波拉尼奥 / 赵德明 , 上海人民出版社 , 2012-1-1 ,8.7,"
        (2294人评价)
    ","美国全国书评人协会最佳小说奖
《纽约时报》年度十佳图书之首
《时代》周刊年度最佳小说
《洛杉矶时报》年度最佳小说
《旧金山纪事报》年度50部最佳小说
《西雅... "
时光倒流的女孩,[美] 加·泽文 / 路旦俊、胡泽刚 , 江苏凤凰文艺出版社 , 2017-5-20 ,8.0,"
        (1683人评价)
    ","现象级全球畅销书《岛上书店》作者口碑成名作！
★《岛上书店》作者泽文横扫30多个国家和地区，创下千万畅销记录。
★美国图书馆协会、图书馆周刊、科克斯书评、号... "
没有你，什么都不甜蜜,[冰岛] 约恩·卡尔曼·斯特凡松 / 李静滢 , 九州出版社 , 2017-5 ,8.0,"
        (307人评价)
    ","2017年诺贝尔奖实力候选约恩·卡尔曼·斯特凡松“冰岛三部曲”·1
————
一场大风雪，一个男孩的三天三夜，一百年前那个古老迷人的冰岛世界。
男孩和他唯一... "
一句顶一万句,刘震云 , 长江文艺出版社 , 2009-3 ,8.6,"
        (18405人评价)
    ",《一句顶一万句》的故事很简单，小说的前半部写的是过去：孤独无助的吴摩西失去唯一能够“说得上话”的养女，为了寻找，走出延津；小说的后半部写的是现在：吴摩西养女... 
